t,ωfl,ωfr,ωrl,ωrr
13.3,3.7593798175943975,3.719344200497923,3.7193442004979156,3.759379817594385
13.4,3.7565096669500373,3.7159544628834458,3.7159544628834564,3.7565096669500235
13.5,3.752668787878837,3.7114519629784093,3.711451962978441,3.7526687878788456
13.6,3.7478652340243257,3.705830496267436,3.7058304962674278,3.747865234024333
13.7,3.7421089533058014,3.6990824580934527,3.699082458093445,3.742108953305807
13.8,3.73541176273946,3.691198878098643,3.691198878098596,3.735411762739486
13.9,3.7277873170085725,3.6821694633624062,3.682169463362404,3.727787317008574
14.0,3.71925106672558,3.6719826546098933,3.671982654609891,3.7192510667256014
14.1,3.70982020188191,3.6606257003687697,3.660625700368769,3.7098202018819104
14.2,3.6995135756450286,3.6480847543676407,3.648084754367639,3.69951357564505
14.3,3.688351603467579,3.6343450017266643,3.634345001726685,3.6883516034675767
14.4,3.676356132467563,3.6193908196419984,3.6193908196420126,3.676356132467532
14.5,3.6635502762633667,3.603205978219646,3.603205978219603,3.663550276263369
14.6,3.649958210911671,3.5857738869333766,3.5857738869334024,3.6499582109117013
14.7,3.635604928354691,3.5670778918106265,3.567077891810607,3.6356049283546867
14.8,3.620515944873357,3.547101627901627,3.547101627901633,3.620515944873335
14.9,3.6047169634738028,3.5258294309131886,3.5258294309132094,3.6047169634738014
15.0,3.5882334909530633,3.5032468109920063,3.5032468109920067,3.5882334909530647
15.1,3.571090412564549,3.479340990692249,3.4793409906922466,3.5710904125645704
15.2,3.5533115297879294,3.454101508010655,3.454101508010649,3.553311529787955
15.3,3.5349190695888995,3.4275208841678695,3.42752088416785,3.534919069588867
15.4,3.515933176742587,3.399595354508021,3.3995953545079938,3.5159331767426054
15.5,3.4963714041778524,3.3703256594978575,3.37032565949784,3.496371404177837
15.6,3.47624821977923,3.339717891376932,3.3397178913769214,3.4762482197791957
15.7,3.4555745515490917,3.3077843905036937,3.3077843905036626,3.4555745515491423
15.8,3.434357396306976,3.2745446839395993,3.274544683939573,3.4343573963069516
15.9,3.4125995200532535,3.240026457261016,3.2400264572610307,3.412599520053237
16.0,3.390299280539196,3.2042665490826487,3.204266549082682,3.390299280539214
16.1,3.367450604260503,3.1673119563707384,3.1673119563707184,3.367450604260505
16.2,3.344043150891425,3.1292208373243087,3.129220837324323,3.3440431508914092
16.3,3.32006269782383,3.0900634976579617,3.0900634976580075,3.3200626978238508
16.4,3.2954917759387174,3.0499233455067527,3.0499233455067785,3.2954917759387357
16.5,3.270310584810493,3.0088978002377633,3.0088978002378064,3.2703105848104905
16.6,3.2444982113017087,2.9670991412887453,2.9670991412888106,3.2444982113017096
16.7,3.2180341699430373,2.924655285089713,2.9246552850896785,3.2180341699430373
16.8,3.1909002768589154,2.881710481402584,2.8817104814025805,3.1909002768589185
16.9,3.163082861576232,2.838425925321698,2.838425925321681,3.163082861576249
17.0,3.134575313348358,2.794980288010687,2.794980288010683,3.134575313348383
17.1,3.105380951188928,2.7515701781809976,2.7515701781810002,3.1053809511889248
17.2,3.075516200484202,2.708410557588503,2.7084105575884947,3.0755162004842154
17.3,3.0450140545886,2.6657351473854227,2.66573514738543,3.045014054588614
17.4,3.0139277982784303,2.623796878050061,2.6237968780501024,3.0139277982784525
17.5,2.9823349722448165,2.582868453501528,2.582868453501501,2.9823349722448316
17.6,2.9503415650061404,2.5432431195642513,2.543243119564294,2.9503415650060596
17.7,2.918086431692192,2.5052357475790368,2.505235747579056,2.9180864316922395
17.8,2.8857459589555723,2.469184364977245,2.4691843649772336,2.8857459589555976
17.9,2.853539022724976,2.4354522851975235,2.4354522851974902,2.8535390227250024
